draw_num,draw,player,slot,odds
0, -1, Nick, 0, 0.0001335151668432681
1, 988, Nick, 20, 0.000180183616698726
2, 414, Nick, 8, 0.00017310030765352088
3, 133, Nick, 4, 0.00010294895955511109
4, 245, Nick, 6, 0.00005962983689197112
5, 972, Nick, 19, 0.00008905038515987843
6, 514, Nick, 11, 0.00009877804166474806
7, 14, Nick, 2, 0.00005482414787821441
8, 7, Nick, 1, 0.0003218080159478621
9, 958, Nick, 18, 0.0005446399639073118
10, 281, Nick, 7, 0.00029177140923605994
11, 173, Nick, 5, 0.000259965697058075
12, 789, Nick, 15, 0.0003696620769474948
13, 778, Nick, 14, 0.0006676640176327645
14, 798, Nick, 16, 0.0014184399639585738
15, 942, Nick, 17, 0.0014645318286155087
16, 422, Nick, 9, 0.007184771294975871
17, 512, Nick, 10, 0.019402830172970554
18, 636, Nick, 12, 0.034612744180240906
19, 666, Nick, 13, 0.12040816326530612
20, 93, Nick, 3, 1.0
0, -1, Optimal, 0, 0.0001335151668432681
1, 988, Optimal, 20, 0.000180183616698726
2, 414, Optimal, 9, 0.00017469313565261676
3, 133, Optimal, 3, 0.00015698555018900785
4, 245, Optimal, 6, 0.00005962983689197112
5, 972, Optimal, 19, 0.00008905038515987843
6, 514, Optimal, 11, 0.00009877804166474806
7, 14, Optimal, 1, 0.00018555865435703327
8, 7, Optimal, 1, 0.0003218080159478621
9, 958, Optimal, 18, 0.0005446399639073118
10, 281, Optimal, 7, 0.00029177140923605994
11, 173, Optimal, 5, 0.000259965697058075
12, 789, Optimal, 15, 0.0003696620769474948
13, 778, Optimal, 14, 0.0006676640176327645
14, 798, Optimal, 16, 0.0014184399639585738
15, 942, Optimal, 17, 0.0014645318286155087
16, 422, Optimal, 9, 0.007184771294975871
17, 512, Optimal, 10, 0.019402830172970554
18, 636, Optimal, 12, 0.034612744180240906
19, 666, Optimal, 13, 0.12040816326530612
20, 93, Optimal, 3, 1.0